system:time_start,NDVI
"Jan 4, 2023",0.153
"Jan 4, 2023",0.154
"Jan 7, 2023",0.233
"Jan 7, 2023",0.234
"Jan 9, 2023",0.257
"Jan 9, 2023",0.243
"Jan 12, 2023",0.184
"Jan 12, 2023",0.143
"Jan 14, 2023",0.223
"Jan 22, 2023",0.214
"Jan 22, 2023",0.199
"Jan 24, 2023",0.207
"Jan 24, 2023",0.212
"Jan 27, 2023",0.209
"Jan 27, 2023",0.189
"Jan 29, 2023",0.22
"Jan 29, 2023",0.182
"Jan 29, 2023",0.193
"Jan 29, 2023",0.194
"Feb 3, 2023",0.236
"Feb 3, 2023",0.226
"Feb 6, 2023",0.21
"Feb 6, 2023",0.197
"Feb 8, 2023",0.216
"Feb 8, 2023",0.213
"Feb 11, 2023",0.205
"Feb 11, 2023",0.199
"Feb 13, 2023",0.227
"Feb 13, 2023",0.222
"Feb 16, 2023",0.173
"Feb 21, 2023",0.222
"Feb 21, 2023",0.202
"Feb 23, 2023",0.236
"Feb 23, 2023",0.23
"Feb 26, 2023",0.158
"Feb 28, 2023",0.255
"Feb 28, 2023",0.243
"Mar 3, 2023",0.247
"Mar 3, 2023",0.222
"Mar 5, 2023",0.238
"Mar 5, 2023",0.247
"Mar 8, 2023",0.196
"Mar 13, 2023",0.256
"Mar 13, 2023",0.214
"Mar 20, 2023",0.29
"Mar 23, 2023",0.282
"Mar 23, 2023",0.237
"Mar 25, 2023",0.302
"Mar 25, 2023",0.264
"Mar 28, 2023",0.178
"Apr 2, 2023",0.262
"Apr 4, 2023",0.301
"Apr 4, 2023",0.305
"Apr 7, 2023",0.322
"Apr 7, 2023",0.294
"Apr 9, 2023",0.352
"Apr 9, 2023",0.35
"Apr 12, 2023",0.321
"Apr 12, 2023",0.303
"Apr 14, 2023",0.308
"Apr 14, 2023",0.32
"Apr 19, 2023",0.289
"Apr 19, 2023",0.298
"Apr 24, 2023",0.273
"May 2, 2023",0.257
"May 9, 2023",0.319
"May 9, 2023",0.328
"May 17, 2023",0.285
"May 17, 2023",0.278
"May 22, 2023",0.264
"May 22, 2023",0.276
"May 27, 2023",0.207
"May 29, 2023",0.293
"May 29, 2023",0.303
"Jun 11, 2023",0.269
"Jun 11, 2023",0.267
"Aug 15, 2023",0.206
"Aug 15, 2023",0.248
"Aug 27, 2023",0.267
"Aug 27, 2023",0.28
"Aug 30, 2023",0.275
"Aug 30, 2023",0.315
"Sep 1, 2023",0.246
"Oct 6, 2023",0.414
"Oct 9, 2023",0.399
"Oct 9, 2023",0.379
"Oct 11, 2023",0.45
"Oct 11, 2023",0.451
"Oct 14, 2023",0.443
"Oct 14, 2023",0.407
"Oct 16, 2023",0.452
"Oct 16, 2023",0.456
"Oct 19, 2023",0.401
"Oct 21, 2023",0.449
"Oct 21, 2023",0.444
"Oct 26, 2023",0.433
"Oct 29, 2023",0.437
"Oct 29, 2023",0.385
"Nov 8, 2023",0.439
"Nov 8, 2023",0.371
"Nov 10, 2023",0.431
"Nov 10, 2023",0.432
"Nov 18, 2023",0.377
"Nov 23, 2023",0.296
"Nov 23, 2023",0.3
"Nov 28, 2023",0.315
"Nov 28, 2023",0.303
"Nov 30, 2023",0.31
"Nov 30, 2023",0.345
"Dec 10, 2023",0.32
"Dec 10, 2023",0.312
"Dec 13, 2023",0.285
"Dec 13, 2023",0.275
"Dec 15, 2023",0.291
"Dec 15, 2023",0.287
"Dec 20, 2023",0.27
"Dec 20, 2023",0.261
"Dec 23, 2023",0.19
"Dec 23, 2023",0.214
"Dec 25, 2023",0.255
"Dec 25, 2023",0.252
"Dec 28, 2023",0.248
"Dec 30, 2023",0.223
"Dec 30, 2023",0.233
